company,sector,year,role,language,wordcount,group,count_raw,count_norm
Mercedes,Automobil,2025,ar,de,17,Daten/Data,0,0.0
Merck,Chemie & Pharma,2022,ceo,de,3615,KI/AI,0,0.0
Merck,Chemie & Pharma,2022,ceo,de,3615,Daten/Data,7,1.9364
Merck,Chemie & Pharma,2024,ceo,de,2792,KI/AI,3,1.0745
Merck,Chemie & Pharma,2024,ceo,de,2792,Daten/Data,1,0.3582
Merck,Chemie & Pharma,2025,ceo,de,3051,KI/AI,12,3.9331
Merck,Chemie & Pharma,2025,ceo,de,3051,Daten/Data,0,0.0
Merck,Chemie & Pharma,2023,ceo,de,3634,KI/AI,0,0.0
Merck,Chemie & Pharma,2023,ceo,de,3634,Daten/Data,0,0.0
MunichRe,Versicherungen,2022,ceo,en,2899,KI/AI,0,0.0
MunichRe,Versicherungen,2022,ceo,en,2899,Daten/Data,1,0.3449
MunichRe,Versicherungen,2022,ar,en,1632,KI/AI,0,0.0
MunichRe,Versicherungen,2022,ar,en,1632,Daten/Data,0,0.0
MunichRe,Versicherungen,2023,ceo,en,3161,KI/AI,0,0.0
MunichRe,Versicherungen,2023,ceo,en,3161,Daten/Data,0,0.0
MunichRe,Versicherungen,2023,ar,en,1961,KI/AI,1,0.5099
MunichRe,Versicherungen,2023,ar,en,1961,Daten/Data,2,1.0199
MunichRe,Versicherungen,2024,ceo,en,2725,KI/AI,0,0.0
MunichRe,Versicherungen,2024,ceo,en,2725,Daten/Data,0,0.0
MunichRe,Versicherungen,2024,ar,en,1626,KI/AI,1,0.615
MunichRe,Versicherungen,2024,ar,en,1626,Daten/Data,0,0.0
MunichRe,Versicherungen,2025,ceo,en,2963,KI/AI,0,0.0
MunichRe,Versicherungen,2025,ceo,en,2963,Daten/Data,0,0.0
MunichRe,Versicherungen,2025,ar,en,2082,KI/AI,0,0.0
MunichRe,Versicherungen,2025,ar,en,2082,Daten/Data,0,0.0
PorscheSE,Holding,2022,ceo,de,2630,KI/AI,0,0.0
PorscheSE,Holding,2022,ceo,de,2630,Daten/Data,0,0.0
PorscheSE,Holding,2023,ceo,de,3176,KI/AI,3,0.9446
PorscheSE,Holding,2023,ceo,de,3176,Daten/Data,0,0.0
PorscheSE,Holding,2023,ar,de,1471,KI/AI,0,0.0
PorscheSE,Holding,2023,ar,de,1471,Daten/Data,0,0.0
PorscheSE,Holding,2024,ceo,de,2821,KI/AI,4,1.4179
PorscheSE,Holding,2024,ceo,de,2821,Daten/Data,0,0.0
PorscheSE,Holding,2024,ar,de,863,KI/AI,0,0.0
PorscheSE,Holding,2024,ar,de,863,Daten/Data,0,0.0
PorscheSE,Holding,2025,ceo,de,2629,KI/AI,3,1.1411
PorscheSE,Holding,2025,ceo,de,2629,Daten/Data,1,0.3804
PorscheSE,Holding,2025,ar,de,851,KI/AI,0,0.0
PorscheSE,Holding,2025,ar,de,851,Daten/Data,0,0.0
Rheinmetall,Wehrtechnik,2022,ar,de,0,KI/AI,0,0.0
Rheinmetall,Wehrtechnik,2022,ar,de,0,Daten/Data,0,0.0
Rheinmetall,Wehrtechnik,2024,ceo,de,3575,KI/AI,0,0.0
Rheinmetall,Wehrtechnik,2024,ceo,de,3575,Daten/Data,0,0.0
Rheinmetall,Wehrtechnik,2024,ar,de,1060,KI/AI,0,0.0
Rheinmetall,Wehrtechnik,2024,ar,de,1060,Daten/Data,0,0.0
Rheinmetall,Wehrtechnik,2025,ceo,de,5758,KI/AI,4,0.6947
Rheinmetall,Wehrtechnik,2025,ceo,de,5758,Daten/Data,0,0.0
Rheinmetall,Wehrtechnik,2025,ar,de,1141,KI/AI,1,0.8764
Rheinmetall,Wehrtechnik,2025,ar,de,1141,Daten/Data,0,0.0
RWE,Energie,2022,ceo,de,3462,KI/AI,0,0.0
RWE,Energie,2022,ceo,de,3462,Daten/Data,0,0.0
RWE,Energie,2022,ar,de,1258,KI/AI,0,0.0
RWE,Energie,2022,ar,de,1258,Daten/Data,0,0.0
RWE,Energie,2023,ceo,de,3251,KI/AI,0,0.0
RWE,Energie,2023,ceo,de,3251,Daten/Data,0,0.0
RWE,Energie,2024,ceo,de,2189,KI/AI,0,0.0
RWE,Energie,2024,ceo,de,2189,Daten/Data,0,0.0
RWE,Energie,2024,ar,de,708,KI/AI,0,0.0
RWE,Energie,2024,ar,de,708,Daten/Data,0,0.0
RWE,Energie,2025,ceo,de,2739,KI/AI,3,1.0953
RWE,Energie,2025,ceo,de,2739,Daten/Data,0,0.0
RWE,Energie,2025,ar,de,1074,KI/AI,0,0.0
RWE,Energie,2025,ar,de,1074,Daten/Data,0,0.0
SAP,Software,2022,ceo,de,2629,KI/AI,0,0.0
SAP,Software,2022,ceo,de,2629,Daten/Data,0,0.0
SAP,Software,2022,ar,de,1679,KI/AI,0,0.0
SAP,Software,2022,ar,de,1679,Daten/Data,0,0.0
SAP,Software,2023,ceo,de,3475,KI/AI,3,0.8633
SAP,Software,2023,ceo,de,3475,Daten/Data,3,0.8633
SAP,Software,2023,ar,de,1719,KI/AI,0,0.0
SAP,Software,2023,ar,de,1719,Daten/Data,0,0.0
SAP,Software,2024,ceo,de,3127,KI/AI,30,9.5939
SAP,Software,2024,ceo,de,3127,Daten/Data,3,0.9594
SAP,Software,2024,ar,de,1405,KI/AI,5,3.5587
SAP,Software,2024,ar,de,1405,Daten/Data,0,0.0
SAP,Software,2025,ceo,de,2655,KI/AI,23,8.6629
SAP,Software,2025,ceo,de,2655,Daten/Data,11,4.1431
